num_objects, method,path,latency
1,POST,/api/events/quickAdd,157.16862678527832
1,GET,/api/events,118.85643005371094
1,GET,/api/events,120.36967277526855
1,POST,/api/events/watch,118.77942085266113
1,POST,/api/events,118.29376220703125
1,GET,/api/events,115.98372459411621
1,POST,/api/events/import,118.35265159606934
1,POST,/api/events/quickAdd,119.34971809387207
1,POST,/api/events,117.3703670501709
1,POST,/api/events,116.64271354675293
1,POST,/api/events/import,119.95577812194824
1,POST,/api/events/import,117.49744415283203
1,POST,/api/events/watch,116.70589447021484
1,POST,/api/events/watch,116.52064323425293
1,POST,/api/events/watch,117.29764938354492
1,POST,/api/events/quickAdd,119.06671524047852
1,GET,/api/events,117.74516105651855
1,GET,/api/events,118.37553977966309
1,POST,/api/events/watch,131.21724128723145
1,POST,/api/events,118.18432807922363
1,POST,/api/events/watch,116.48988723754883
1,POST,/api/events,114.31050300598145
1,GET,/api/events,116.96195602416992
1,GET,/api/events,119.2159652709961
1,POST,/api/events/import,117.02132225036621
1,POST,/api/events,118.28875541687012
1,POST,/api/events/import,118.56627464294434
1,GET,/api/events,118.1955337524414
1,POST,/api/events/quickAdd,117.46096611022949
1,POST,/api/events/watch,117.72942543029785
2,GET,/api/events,126.31344795227051
2,POST,/api/events/watch,125.78845024108887
2,POST,/api/events/watch,123.46601486206055
2,POST,/api/events/quickAdd,123.57854843139648
2,POST,/api/events/import,123.77691268920898
2,POST,/api/events/import,125.4112720489502
2,POST,/api/events/watch,123.08192253112793
2,POST,/api/events/import,124.0389347076416
2,POST,/api/events/import,125.90765953063965
2,POST,/api/events,124.25613403320312
2,POST,/api/events/quickAdd,125.35595893859863
2,GET,/api/events,125.1828670501709
2,GET,/api/events,124.59659576416016
2,POST,/api/events/watch,143.94640922546387
2,POST,/api/events,125.37527084350586
2,GET,/api/events,124.86696243286133
2,POST,/api/events/watch,126.24835968017578
2,POST,/api/events,126.46961212158203
2,POST,/api/events/watch,126.56712532043457
2,POST,/api/events/quickAdd,124.42827224731445
2,POST,/api/events/quickAdd,124.3135929107666
2,POST,/api/events/quickAdd,124.07231330871582
2,POST,/api/events/import,125.0600814819336
2,POST,/api/events/quickAdd,123.3210563659668
2,GET,/api/events,126.56641006469727
2,POST,/api/events/quickAdd,124.89056587219238
2,POST,/api/events/quickAdd,125.28061866760254
2,POST,/api/events/import,127.0897388458252
2,POST,/api/events/quickAdd,124.79567527770996
2,POST,/api/events/quickAdd,123.71087074279785
3,POST,/api/events/import,129.32133674621582
3,POST,/api/events/import,130.34486770629883
3,GET,/api/events,131.3028335571289
3,POST,/api/events/watch,133.75449180603027
3,POST,/api/events,133.37087631225586
3,POST,/api/events/import,134.90581512451172
3,POST,/api/events/import,132.64226913452148
3,POST,/api/events/import,134.93919372558594
3,POST,/api/events/quickAdd,130.45096397399902
