num_objects, method,path,latency
1,POST,/api/events/quickAdd,126.76334381103516
1,POST,/api/events,113.0533218383789
1,POST,/api/events/quickAdd,112.77198791503906
1,POST,/api/events/watch,112.93435096740723
1,POST,/api/events/import,113.40928077697754
1,POST,/api/events/quickAdd,113.84987831115723
1,POST,/api/events,113.71588706970215
1,POST,/api/events/quickAdd,112.78009414672852
1,POST,/api/events,113.49129676818848
1,GET,/api/events,110.66961288452148
1,POST,/api/events/import,112.79749870300293
1,POST,/api/events/import,112.40482330322266
1,POST,/api/events/watch,111.69672012329102
1,POST,/api/events/import,111.91892623901367
1,POST,/api/events/quickAdd,112.85257339477539
1,GET,/api/events,111.91892623901367
1,POST,/api/events/quickAdd,114.13431167602539
1,POST,/api/events/import,110.81337928771973
1,GET,/api/events,112.51091957092285
1,POST,/api/events,113.13915252685547
1,POST,/api/events/watch,114.55678939819336
1,GET,/api/events,111.67049407958984
1,POST,/api/events,112.49566078186035
1,POST,/api/events,112.3809814453125
1,POST,/api/events,110.11719703674316
1,POST,/api/events/quickAdd,111.63568496704102
1,GET,/api/events,112.2124195098877
1,GET,/api/events,110.13627052307129
1,POST,/api/events/watch,111.52195930480957
1,POST,/api/events,111.65809631347656
10,POST,/api/events/watch,131.134033203125
10,POST,/api/events/quickAdd,130.82218170166016
10,POST,/api/events/quickAdd,127.42352485656738
10,POST,/api/events/quickAdd,130.68127632141113
10,POST,/api/events/quickAdd,129.7135353088379
10,POST,/api/events/import,129.94837760925293
10,POST,/api/events,130.0969123840332
10,POST,/api/events/watch,131.2696933746338
10,GET,/api/events,130.16438484191895
10,GET,/api/events,128.0813217163086
10,POST,/api/events/import,128.6323070526123
10,POST,/api/events/watch,130.1562786102295
10,POST,/api/events/watch,128.60584259033203
10,POST,/api/events,130.12337684631348
10,GET,/api/events,130.42688369750977
10,POST,/api/events/watch,128.54814529418945
10,POST,/api/events/import,130.89299201965332
10,POST,/api/events,130.34391403198242
10,POST,/api/events,129.8072338104248
10,POST,/api/events/quickAdd,127.41971015930176
10,POST,/api/events,127.20584869384766
10,GET,/api/events,130.84840774536133
10,POST,/api/events,128.23820114135742
10,GET,/api/events,129.43029403686523
10,POST,/api/events/import,128.0834674835205
10,POST,/api/events/watch,130.40423393249512
10,POST,/api/events/quickAdd,130.68032264709473
10,POST,/api/events,128.4921169281006
10,POST,/api/events/quickAdd,128.2212734222412
10,POST,/api/events/quickAdd,130.0806999206543
20,POST,/api/events/watch,210.72053909301758
20,POST,/api/events/watch,206.98261260986328
20,POST,/api/events/import,211.69281005859375
20,GET,/api/events,208.22572708129883
20,POST,/api/events/watch,231.5843105316162
20,POST,/api/events/import,209.13100242614746
20,POST,/api/events/import,210.44564247131348
20,POST,/api/events,207.53049850463867
20,POST,/api/events/quickAdd,208.5287570953369
20,POST,/api/events,208.24241638183594
20,GET,/api/events,211.7631435394287
20,POST,/api/events/quickAdd,210.3428840637207
20,POST,/api/events/import,210.04509925842285
20,GET,/api/events,211.41886711120605
20,POST,/api/events/import,208.37664604187012
20,POST,/api/events/quickAdd,210.36386489868164
20,POST,/api/events/watch,210.91461181640625
20,POST,/api/events/watch,207.5490951538086
20,GET,/api/events,209.5949649810791
20,POST,/api/events/quickAdd,220.53194046020508
20,POST,/api/events/quickAdd,209.55395698547363
20,POST,/api/events/import,209.79833602905273
20,POST,/api/events/watch,207.2153091430664
20,POST,/api/events,211.99584007263184
20,GET,/api/events,209.60712432861328
20,POST,/api/events/quickAdd,210.19959449768066
20,GET,/api/events,208.41264724731445
