num_objects, method,path,latency
1,POST,/api/events/quickAdd,109.11726951599121
1,POST,/api/events/import,112.51688003540039
1,POST,/api/events,107.3610782623291
1,POST,/api/events,106.32562637329102
1,POST,/api/events,106.31394386291504
1,POST,/api/events/import,106.45294189453125
1,POST,/api/events/import,108.35528373718262
1,POST,/api/events/import,108.30473899841309
1,POST,/api/events/import,106.4455509185791
1,POST,/api/events/watch,108.61873626708984
1,GET,/api/events,117.48456954956055
1,POST,/api/events/quickAdd,108.08157920837402
1,POST,/api/events/import,108.82949829101562
1,POST,/api/events/import,105.97777366638184
1,POST,/api/events/quickAdd,107.71751403808594
1,POST,/api/events/import,106.64105415344238
1,POST,/api/events,108.84881019592285
1,POST,/api/events/watch,106.29487037658691
1,POST,/api/events/import,108.98256301879883
1,POST,/api/events/quickAdd,105.53932189941406
1,GET,/api/events,107.08761215209961
1,GET,/api/events,108.51263999938965
1,POST,/api/events,107.38396644592285
1,POST,/api/events/import,109.52425003051758
1,POST,/api/events/import,107.38992691040039
1,POST,/api/events/quickAdd,106.50420188903809
1,POST,/api/events/import,108.30044746398926
1,POST,/api/events/quickAdd,108.74700546264648
1,POST,/api/events,108.73103141784668
1,POST,/api/events/quickAdd,106.84776306152344
10,POST,/api/events/watch,108.0474853515625
10,POST,/api/events/watch,106.21404647827148
10,GET,/api/events,108.59560966491699
10,POST,/api/events/watch,107.70678520202637
10,POST,/api/events/watch,109.01856422424316
10,POST,/api/events/watch,109.0693473815918
10,POST,/api/events,109.42745208740234
10,POST,/api/events/watch,107.47480392456055
10,POST,/api/events/import,108.2298755645752
10,POST,/api/events,109.6501350402832
10,POST,/api/events,107.06734657287598
10,POST,/api/events,106.79078102111816
10,POST,/api/events/quickAdd,109.20286178588867
10,POST,/api/events/quickAdd,109.68399047851562
10,POST,/api/events/watch,107.15270042419434
10,POST,/api/events/quickAdd,107.60712623596191
10,POST,/api/events/quickAdd,106.80556297302246
10,POST,/api/events/quickAdd,109.4202995300293
10,POST,/api/events/watch,109.10272598266602
10,POST,/api/events/quickAdd,107.61117935180664
10,POST,/api/events/import,106.69898986816406
10,POST,/api/events/quickAdd,108.84737968444824
10,POST,/api/events/import,106.88376426696777
10,POST,/api/events,106.51206970214844
10,GET,/api/events,107.09619522094727
10,POST,/api/events/watch,106.88209533691406
10,POST,/api/events/quickAdd,108.81423950195312
10,POST,/api/events/import,106.93836212158203
10,POST,/api/events/watch,107.85841941833496
10,POST,/api/events/import,109.21144485473633
20,POST,/api/events/watch,110.54015159606934
20,POST,/api/events,109.84373092651367
20,POST,/api/events/watch,107.68795013427734
20,POST,/api/events/import,107.71322250366211
20,GET,/api/events,108.11686515808105
20,POST,/api/events,109.00640487670898
20,POST,/api/events/watch,108.46877098083496
20,POST,/api/events,109.73453521728516
20,POST,/api/events,108.53385925292969
20,POST,/api/events/watch,107.76805877685547
20,POST,/api/events/quickAdd,109.9238395690918
20,POST,/api/events,108.59823226928711
20,POST,/api/events/quickAdd,109.04288291931152
20,GET,/api/events,110.37182807922363
20,POST,/api/events/quickAdd,109.9853515625
20,POST,/api/events,112.75196075439453
20,GET,/api/events,110.37802696228027
20,POST,/api/events/quickAdd,107.54823684692383
20,POST,/api/events/quickAdd,107.72204399108887
20,POST,/api/events,107.17368125915527
20,GET,/api/events,110.94880104064941
20,POST,/api/events,110.71920394897461
20,POST,/api/events/quickAdd,107.76948928833008
20,POST,/api/events/watch,107.8948974609375
20,POST,/api/events/import,110.57496070861816
20,POST,/api/events/import,110.50748825073242
20,POST,/api/events,109.23242568969727
20,POST,/api/events/import,108.48021507263184
20,POST,/api/events,108.48593711853027
20,POST,/api/events/import,108.41608047485352
30,POST,/api/events/quickAdd,111.27042770385742
30,POST,/api/events,110.0614070892334
30,POST,/api/events/watch,111.12475395202637
30,POST,/api/events/import,109.4808578491211
30,POST,/api/events,108.18076133728027
30,POST,/api/events,108.43443870544434
30,POST,/api/events/quickAdd,108.83784294128418
30,POST,/api/events/import,110.95499992370605
30,POST,/api/events/watch,109.76576805114746
30,POST,/api/events/import,110.66126823425293
30,POST,/api/events/import,110.41593551635742
30,POST,/api/events/watch,109.4970703125
30,POST,/api/events,110.01062393188477
30,POST,/api/events/watch,108.04247856140137
30,POST,/api/events/import,109.03310775756836
30,POST,/api/events/quickAdd,109.19451713562012
30,POST,/api/events/watch,109.06386375427246
30,POST,/api/events/import,108.05344581604004
30,GET,/api/events,110.02492904663086
30,POST,/api/events/watch,109.60102081298828
30,POST,/api/events/watch,110.1827621459961
30,GET,/api/events,109.1923713684082
30,POST,/api/events/watch,109.6951961517334
30,POST,/api/events/import,110.72421073913574
30,POST,/api/events/import,110.04352569580078
30,POST,/api/events/import,109.7707748413086
30,POST,/api/events/quickAdd,109.7254753112793
30,POST,/api/events/import,108.7801456451416
30,POST,/api/events/import,111.35387420654297
30,GET,/api/events,110.29553413391113
40,POST,/api/events/watch,109.53259468078613
40,POST,/api/events/import,110.55493354797363
40,GET,/api/events,110.29672622680664
40,POST,/api/events/quickAdd,110.79835891723633
40,POST,/api/events/watch,110.59856414794922
40,POST,/api/events,110.06855964660645
40,POST,/api/events/watch,110.14461517333984
40,GET,/api/events,110.02922058105469
40,POST,/api/events/import,111.03940010070801
40,POST,/api/events/watch,110.75663566589355
40,GET,/api/events,109.26580429077148
40,GET,/api/events,110.47911643981934
40,GET,/api/events,111.07301712036133
40,POST,/api/events/watch,110.05783081054688
40,POST,/api/events/quickAdd,111.03248596191406
40,POST,/api/events/import,111.61327362060547
40,POST,/api/events/quickAdd,111.4206314086914
40,GET,/api/events,110.5046272277832
40,POST,/api/events/import,108.63924026489258
40,POST,/api/events/quickAdd,110.96954345703125
40,POST,/api/events/quickAdd,109.4505786895752
40,POST,/api/events,110.28409004211426
40,POST,/api/events,111.52052879333496
40,POST,/api/events,110.27073860168457
40,POST,/api/events,110.28933525085449
40,POST,/api/events/quickAdd,108.34193229675293
40,POST,/api/events/quickAdd,112.67805099487305
40,POST,/api/events/quickAdd,110.30697822570801
40,POST,/api/events,110.77594757080078
40,POST,/api/events/quickAdd,110.78834533691406
50,POST,/api/events/import,108.51216316223145
50,GET,/api/events,111.14239692687988
50,POST,/api/events/quickAdd,109.71784591674805
50,POST,/api/events/import,110.4285717010498
50,POST,/api/events/quickAdd,109.4052791595459
50,POST,/api/events,112.13111877441406
50,POST,/api/events/import,109.1914176940918
50,POST,/api/events/import,111.90032958984375
50,POST,/api/events/import,109.23194885253906
50,GET,/api/events,112.21480369567871
50,POST,/api/events/import,110.28814315795898
50,POST,/api/events/import,111.18340492248535
50,POST,/api/events/quickAdd,109.91621017456055
50,POST,/api/events/quickAdd,108.31212997436523
50,POST,/api/events,111.67263984680176
50,POST,/api/events/watch,111.23800277709961
50,POST,/api/events/quickAdd,109.69996452331543
50,POST,/api/events/quickAdd,110.02111434936523
50,POST,/api/events/watch,109.47299003601074
50,GET,/api/events,112.5788688659668
50,POST,/api/events,109.79342460632324
50,POST,/api/events/watch,111.19771003723145
50,POST,/api/events,111.10353469848633
50,POST,/api/events/watch,108.3984375
50,POST,/api/events/import,109.48872566223145
50,POST,/api/events,111.70411109924316
50,GET,/api/events,111.0379695892334
50,POST,/api/events/watch,109.65347290039062
50,POST,/api/events/quickAdd,109.08699035644531
50,POST,/api/events/import,110.73613166809082
