num_objects, method,path,latency
1,POST,/api/events/import,140.17343521118164
1,GET,/api/events,113.51346969604492
1,POST,/api/events/watch,111.29283905029297
1,POST,/api/events/import,111.13286018371582
1,POST,/api/events/import,113.73567581176758
1,POST,/api/events/import,115.0808334350586
1,POST,/api/events/quickAdd,109.92741584777832
1,GET,/api/events,113.12389373779297
1,POST,/api/events/watch,113.79122734069824
1,POST,/api/events,116.39046669006348
1,GET,/api/events,114.35818672180176
1,GET,/api/events,112.60581016540527
1,GET,/api/events,116.98412895202637
1,GET,/api/events,111.01984977722168
1,POST,/api/events/import,112.66231536865234
1,POST,/api/events/watch,119.6441650390625
1,POST,/api/events/import,116.57929420471191
1,POST,/api/events/quickAdd,117.31648445129395
1,GET,/api/events,110.36133766174316
1,POST,/api/events,113.5103702545166
1,POST,/api/events/watch,113.66605758666992
1,POST,/api/events/import,113.28601837158203
1,POST,/api/events,114.28356170654297
1,POST,/api/events,112.87689208984375
1,POST,/api/events/import,114.63499069213867
1,GET,/api/events,111.13190650939941
1,POST,/api/events/quickAdd,112.24865913391113
1,POST,/api/events/import,113.04831504821777
1,POST,/api/events/import,112.26201057434082
1,POST,/api/events/import,113.24381828308105
10,POST,/api/events/import,146.44193649291992
10,POST,/api/events/quickAdd,133.51941108703613
10,POST,/api/events/quickAdd,133.1770420074463
10,POST,/api/events,136.2919807434082
10,POST,/api/events/watch,136.1076831817627
10,POST,/api/events/import,134.37342643737793
10,POST,/api/events/quickAdd,132.42053985595703
10,POST,/api/events/watch,137.30430603027344
10,POST,/api/events/watch,136.28482818603516
10,POST,/api/events,138.39960098266602
10,POST,/api/events/import,141.36838912963867
10,POST,/api/events,135.90455055236816
10,POST,/api/events/quickAdd,136.3966464996338
10,GET,/api/events,138.502836227417
10,POST,/api/events/quickAdd,140.34795761108398
10,POST,/api/events,145.74718475341797
10,POST,/api/events/import,132.92670249938965
10,POST,/api/events,133.62932205200195
10,POST,/api/events,148.29421043395996
10,POST,/api/events,135.97416877746582
10,POST,/api/events/watch,131.3321590423584
10,POST,/api/events/import,136.39044761657715
10,POST,/api/events/quickAdd,130.54490089416504
10,POST,/api/events/watch,137.80522346496582
10,POST,/api/events/quickAdd,134.57012176513672
10,POST,/api/events/quickAdd,136.29531860351562
10,POST,/api/events/import,141.36004447937012
10,POST,/api/events/quickAdd,147.71723747253418
10,GET,/api/events,134.4740390777588
10,GET,/api/events,133.9132785797119
20,GET,/api/events,214.32924270629883
20,POST,/api/events,218.70779991149902
20,POST,/api/events/quickAdd,230.47661781311035
20,GET,/api/events,217.8339958190918
20,POST,/api/events/quickAdd,257.0767402648926
20,POST,/api/events,228.285551071167
20,POST,/api/events/quickAdd,231.05931282043457
20,GET,/api/events,220.45063972473145
20,POST,/api/events/import,220.61514854431152
20,GET,/api/events,224.21717643737793
20,GET,/api/events,223.80971908569336
20,POST,/api/events,227.66613960266113
20,POST,/api/events/quickAdd,234.1468334197998
20,POST,/api/events/import,217.67044067382812
20,POST,/api/events,221.6169834136963
20,POST,/api/events/watch,216.51983261108398
20,POST,/api/events/watch,215.78741073608398
20,GET,/api/events,222.672700881958
20,GET,/api/events,216.4750099182129
20,POST,/api/events/watch,215.41666984558105
20,POST,/api/events,225.12316703796387
20,GET,/api/events,216.72797203063965
20,POST,/api/events/watch,213.42921257019043
20,POST,/api/events/quickAdd,230.26323318481445
20,POST,/api/events,214.8606777191162
20,POST,/api/events,236.1001968383789
20,POST,/api/events/watch,214.61963653564453
20,POST,/api/events/quickAdd,234.36450958251953
20,POST,/api/events,215.41070938110352
20,POST,/api/events/quickAdd,216.95661544799805
30,POST,/api/events/watch,270.1892852783203
30,POST,/api/events/watch,273.99325370788574
30,GET,/api/events,284.20424461364746
30,POST,/api/events,275.0363349914551
30,POST,/api/events/import,289.80326652526855
30,POST,/api/events,259.16409492492676
30,POST,/api/events/import,276.23915672302246
30,POST,/api/events,271.1300849914551
30,GET,/api/events,267.84372329711914
30,POST,/api/events/import,283.21146965026855
30,POST,/api/events/import,284.47937965393066
30,POST,/api/events,327.9085159301758
30,POST,/api/events,276.51357650756836
30,POST,/api/events,283.56051445007324
30,GET,/api/events,260.26177406311035
30,POST,/api/events,258.19849967956543
30,GET,/api/events,280.4875373840332
30,POST,/api/events,277.59313583374023
30,POST,/api/events/import,306.0905933380127
30,POST,/api/events,269.42992210388184
30,POST,/api/events/quickAdd,259.89770889282227
30,POST,/api/events/quickAdd,259.0157985687256
30,POST,/api/events,301.13697052001953
30,POST,/api/events/quickAdd,274.81746673583984
30,POST,/api/events,270.28846740722656
30,POST,/api/events/watch,271.0001468658447
30,POST,/api/events/quickAdd,332.7343463897705
30,POST,/api/events/watch,307.86752700805664
30,POST,/api/events/watch,316.6220188140869
30,POST,/api/events/import,311.1388683319092
40,GET,/api/events,400.13599395751953
40,GET,/api/events,436.06042861938477
40,POST,/api/events/import,372.73335456848145
40,POST,/api/events,385.39910316467285
40,GET,/api/events,397.5489139556885
40,POST,/api/events/import,375.3523826599121
40,POST,/api/events,421.4661121368408
40,POST,/api/events,373.46601486206055
40,POST,/api/events/quickAdd,373.1820583343506
40,POST,/api/events,391.1092281341553
40,POST,/api/events/quickAdd,365.39769172668457
40,POST,/api/events/import,383.6047649383545
40,POST,/api/events/watch,402.45795249938965
40,GET,/api/events,413.04850578308105
40,GET,/api/events,406.94594383239746
40,POST,/api/events/watch,369.9986934661865
40,POST,/api/events,426.96547508239746
40,POST,/api/events/quickAdd,387.0701789855957
40,POST,/api/events,364.1073703765869
40,GET,/api/events,402.33445167541504
40,POST,/api/events/quickAdd,435.37187576293945
40,POST,/api/events,386.4161968231201
40,POST,/api/events/watch,387.9539966583252
40,POST,/api/events/watch,369.4331645965576
40,POST,/api/events,369.05884742736816
40,POST,/api/events/watch,372.94602394104004
40,GET,/api/events,406.6920280456543
40,POST,/api/events/watch,400.50339698791504
40,POST,/api/events/watch,418.29800605773926
40,GET,/api/events,429.40545082092285
50,GET,/api/events,433.3477020263672
50,POST,/api/events/watch,442.3384666442871
50,GET,/api/events,429.02112007141113
50,POST,/api/events,460.79349517822266
50,POST,/api/events/import,472.0802307128906
50,GET,/api/events,497.12109565734863
50,POST,/api/events/quickAdd,440.9468173980713
50,POST,/api/events/quickAdd,441.2424564361572
50,POST,/api/events/import,530.2369594573975
50,GET,/api/events,546.5664863586426
50,POST,/api/events/watch,476.47690773010254
50,POST,/api/events/watch,507.767915725708
50,POST,/api/events/import,468.26744079589844
50,POST,/api/events/import,457.91149139404297
50,POST,/api/events,457.4592113494873
50,GET,/api/events,462.5403881072998
50,POST,/api/events/import,455.74498176574707
50,POST,/api/events/import,478.44719886779785
50,POST,/api/events,564.511775970459
50,POST,/api/events/quickAdd,476.63378715515137
50,POST,/api/events,481.13536834716797
50,POST,/api/events,490.49949645996094
50,POST,/api/events/quickAdd,434.5285892486572
50,POST,/api/events/watch,447.22986221313477
50,GET,/api/events,508.6991786956787
50,GET,/api/events,475.9490489959717
50,POST,/api/events/import,500.60534477233887
50,POST,/api/events/import,473.62399101257324
50,POST,/api/events/watch,461.49563789367676
50,POST,/api/events,502.59876251220703
